respondent_id,cluster,max_probability,confidence_category
180,1,0.5421674423880443,Moderate
181,2,0.42224470123833907,Low
182,1,0.7596427683988352,Moderate
183,4,0.9981596542483371,High
184,4,0.95993010789233,High
185,4,0.9950284389015414,High
186,2,0.7276270891823103,Moderate
187,4,0.4589570246449654,Low
188,0,0.9986784663940583,High
189,3,0.996394307050477,High
190,2,0.4404736945192952,Low
191,2,0.8609768654939098,High
192,1,0.769705202655286,Moderate
193,2,0.5249861114477901,Moderate
194,1,0.5108980167584016,Moderate
195,1,0.43155764843908057,Low
196,2,0.41414972209827167,Low
197,0,0.9975992612899246,High
198,4,0.585220260560901,Moderate
199,2,0.5184038738092184,Moderate
200,1,0.4342255286435345,Low
201,4,0.6837883381732035,Moderate
202,4,0.751605916320041,Moderate
203,2,0.7265350945597912,Moderate
204,1,0.5305229852439011,Moderate
205,4,0.836544415237662,High
206,2,0.6154291049469978,Moderate
207,2,0.49554953696763854,Low
208,2,0.7181495209744957,Moderate
209,0,0.9977121202327968,High
210,4,0.5379397646166564,Moderate
211,1,0.5562847352551309,Moderate
212,4,0.9815958770515654,High
213,2,0.5709969191467744,Moderate
214,4,0.46929818669092077,Low
215,4,0.48030408832843186,Low
216,4,0.45619118177138496,Low
217,2,0.6491869666615706,Moderate
218,0,0.9958163358551423,High
219,2,0.42816613582969565,Low
220,2,0.6864691058284654,Moderate
221,4,0.7236942540490034,Moderate
222,0,0.9983127521166967,High
223,4,0.4141542915821452,Low
224,4,0.6197405261779763,Moderate
225,2,0.5432470613679952,Moderate
226,4,0.7665544880607928,Moderate
227,2,0.5112319812845242,Moderate
228,4,0.8666749870250728,High
229,1,0.4627375123445535,Low
230,2,0.4456323513212288,Low
231,2,0.4713435364478675,Low
232,4,0.9990834355198219,High
233,4,0.6278895733535327,Moderate
234,1,0.4098688025334016,Low
235,1,0.8301279699539413,High
236,4,0.7361860838162205,Moderate
237,0,0.997970338677031,High
238,4,0.60347805368942,Moderate
239,0,0.9986008111346651,High
240,2,0.5015470620149551,Moderate
241,4,0.7159928190445678,Moderate
242,4,0.5531315566305979,Moderate
243,2,0.8387427246567322,High
244,1,0.4534078721654968,Low
245,1,0.7632325454074658,Moderate
246,4,0.517840369169275,Moderate
247,4,0.8304896384751626,High
248,4,0.5650279960866351,Moderate
249,2,0.4281823933062882,Low
250,1,0.4617080351062444,Low
251,4,0.8600040043471557,High
252,4,0.8826005979250675,High
253,3,0.996270866885576,High
254,4,0.5432497681811593,Moderate
255,1,0.7204031720886395,Moderate
256,1,0.6030542450391718,Moderate
257,4,0.6734961898597235,Moderate
258,4,0.5530419636686955,Moderate
259,1,0.419590685955734,Low
260,2,0.4108544673345306,Low
261,1,0.6750792607348438,Moderate
262,4,0.5789758982268468,Moderate
263,4,0.479271185479254,Low
264,3,0.9973525441399218,High
265,4,0.999015158157386,High
266,4,0.7879354895671877,Moderate
267,2,0.7966688612529694,Moderate
268,4,0.5436016748162145,Moderate
269,0,0.9986745057219306,High
270,1,0.43235810349255027,Low
271,4,0.9506563469084768,High
272,1,0.45979137003979015,Low
273,0,0.9987867145496825,High
274,1,0.8047150746755847,High
275,2,0.5384767706679188,Moderate
276,4,0.8216732345619412,High
277,0,0.9969816161492566,High
278,0,0.9988594626729022,High
279,2,0.8174514520088022,High
280,0,0.9979923491006745,High
281,4,0.7463508732611027,Moderate
282,2,0.48045392551280003,Low
283,0,0.9984496002154792,High
284,1,0.4451038188233714,Low
285,0,0.9979007312901832,High
286,1,0.5869486886094327,Moderate
287,2,0.8380142807303042,High
288,4,0.9872385008605903,High
289,4,0.6993390877932296,Moderate
290,0,0.9979225313732766,High
291,0,0.9977346594764201,High
292,4,0.7571789676915668,Moderate
293,4,0.5917007813655617,Moderate
294,1,0.4515509333781334,Low
295,1,0.6503714659999265,Moderate
296,4,0.36163896021249947,Low
297,2,0.6971747481187318,Moderate
298,4,0.8525814890108084,High
299,2,0.5634864045487159,Moderate
300,4,0.7096337268664812,Moderate
301,4,0.5936911175859475,Moderate
302,1,0.8446838921345906,High
303,0,0.9981435120630288,High
304,1,0.6250740687508386,Moderate
305,4,0.9760791192276159,High
306,2,0.7452028507061723,Moderate
307,1,0.44451282747921816,Low
308,2,0.8677179261010239,High
309,1,0.6853196114815386,Moderate
310,2,0.8710036175960768,High
311,2,0.49844403589719066,Low
312,4,0.7423636899091051,Moderate
313,4,0.4014741831441195,Low
314,1,0.5684733742912509,Moderate
315,4,0.5292317532319504,Moderate
316,4,0.756769810645056,Moderate
317,1,0.7816910708121174,Moderate
318,0,0.9988190219985369,High
319,4,0.5055579743451052,Moderate
320,0,0.9964486376885368,High
321,2,0.48680574366093615,Low
322,1,0.3920853826568698,Low
323,0,0.9987466573986006,High
324,3,0.9976876775291565,High
325,1,0.4588542314411542,Low
326,4,0.9317250161423128,High
327,2,0.5231476608295341,Moderate
328,0,0.9980882306171884,High
329,4,0.7381936693487214,Moderate
330,1,0.6036411399866147,Moderate
331,1,0.5474557657996239,Moderate
